,날짜,전체도시이름,도단위이름,시군구이름,최소기온,최대기온,오전날씨,오전비확률,오후날씨,오후비확률,관광지수,관광지표
616,2023-04-27,경북 문경시,경북,문경시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
617,2023-04-27,부산 북구,부산,북구,13.0,20.0,구름많음,30%,흐림,40%,-0.03,보통
618,2023-04-27,서울 광진구,서울,광진구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
619,2023-04-27,경남 남해군,경남,남해군,11.0,20.0,구름많음,30%,흐림,40%,-0.13,보통
620,2023-04-27,경기 화성시,경기,화성시,8.0,22.0,구름많음,30%,흐림,40%,-0.47,나쁨
621,2023-04-27,경북 영덕군,경북,영덕군,10.0,23.0,구름많음,30%,흐림,40%,-0.07,보통
622,2023-04-27,경북 예천군,경북,예천군,5.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
623,2023-04-27,서울 도봉구,서울,도봉구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
624,2023-04-27,경기 파주시,경기,파주시,5.0,20.0,구름많음,30%,흐림,40%,-0.41,나쁨
625,2023-04-27,인천 남구,인천,남구,10.0,18.0,구름많음,30%,흐림,40%,-0.53,나쁨
626,2023-04-27,광주 서구,광주,서구,6.0,22.0,구름많음,30%,흐림,40%,-0.01,보통
627,2023-04-27,경기 평택시,경기,평택시,7.0,24.0,구름많음,30%,흐림,40%,-0.41,나쁨
628,2023-04-27,경기 하남시,경기,하남시,7.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
629,2023-04-27,서울 노원구,서울,노원구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
630,2023-04-27,광주 남구,광주,남구,6.0,22.0,구름많음,30%,흐림,40%,-0.01,보통
631,2023-04-27,경북 영주시,경북,영주시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
632,2023-04-27,경기 포천시,경기,포천시,5.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
633,2023-04-27,경북 영양군,경북,영양군,5.0,23.0,구름많음,30%,흐림,40%,-0.3,나쁨
634,2023-04-27,서울 금천구,서울,금천구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
635,2023-04-27,광주 남구,광주,남구,9.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
636,2023-04-27,경북 영천시,경북,영천시,6.0,24.0,구름많음,30%,흐림,40%,-0.13,보통
637,2023-04-27,경기 이천시,경기,이천시,6.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
638,2023-04-27,경북 김천시,경북,김천시,4.0,25.0,구름많음,30%,흐림,40%,-0.41,나쁨
639,2023-04-27,서울 강북구,서울,강북구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
640,2023-04-27,경남 의령군,경남,의령군,7.0,22.0,구름많음,30%,흐림,40%,0.07,보통
641,2023-04-27,경남 합천군,경남,합천군,7.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
642,2023-04-27,경남 진주시,경남,진주시,7.0,21.0,구름많음,30%,흐림,40%,0.07,보통
643,2023-04-27,부산 영도구,부산,영도구,13.0,20.0,구름많음,30%,흐림,40%,-0.37,나쁨
644,2023-04-27,부산 사상구,부산,사상구,13.0,20.0,구름많음,30%,흐림,40%,-0.29,나쁨
645,2023-04-27,부산 서구,부산,서구,13.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
646,2023-04-27,대구 북구,대구,북구,10.0,23.0,구름많음,30%,흐림,40%,-0.18,보통
647,2023-04-27,경남 창녕군,경남,창녕군,7.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
648,2023-04-27,경남 창원시,경남,창원시,10.0,21.0,구름많음,30%,흐림,40%,-0.4,나쁨
649,2023-04-27,부산 연제구,부산,연제구,13.0,20.0,구름많음,30%,흐림,40%,-0.29,나쁨
650,2023-04-27,부산 사하구,부산,사하구,13.0,20.0,구름많음,30%,흐림,40%,-0.29,나쁨
651,2023-04-27,경남 함안군,경남,함안군,6.0,22.0,구름많음,30%,흐림,40%,0.11,좋음
652,2023-04-27,경남 하동군,경남,하동군,8.0,21.0,구름많음,30%,흐림,40%,0.05,보통
653,2023-04-27,경남 통영시,경남,통영시,12.0,20.0,구름많음,30%,흐림,40%,-0.01,보통
654,2023-04-27,경남 함양군,경남,함양군,4.0,23.0,구름많음,30%,흐림,40%,-0.47,나쁨
655,2023-04-27,광주 동구,광주,동구,6.0,22.0,구름많음,30%,흐림,40%,-0.01,보통
656,2023-04-27,부산 해운대구,부산,해운대구,13.0,20.0,구름많음,30%,흐림,40%,-0.37,나쁨
657,2023-04-27,경북 경주시,경북,경주시,6.0,24.0,구름많음,30%,흐림,40%,-0.13,보통
658,2023-04-27,경남 밀양시,경남,밀양시,7.0,22.0,구름많음,30%,흐림,40%,-0.24,보통
659,2023-04-27,울산 북구,울산,북구,9.0,21.0,구름많음,30%,흐림,40%,-0.27,나쁨
660,2023-04-27,경북 군위군,경북,군위군,6.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
661,2023-04-27,경남 사천시,경남,사천시,8.0,21.0,구름많음,30%,흐림,40%,0.07,보통
662,2023-04-27,서울 강동구,서울,강동구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
663,2023-04-27,인천 서구,인천,서구,10.0,18.0,구름많음,30%,흐림,40%,-0.47,나쁨
664,2023-04-27,경북 경산시,경북,경산시,9.0,23.0,구름많음,30%,흐림,40%,-0.2,보통
665,2023-04-27,경북 구미시,경북,구미시,8.0,24.0,구름많음,30%,흐림,40%,-0.31,나쁨
666,2023-04-27,경남 산청군,경남,산청군,5.0,22.0,구름많음,30%,흐림,40%,-0.3,나쁨
667,2023-04-27,서울 강남구,서울,강남구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
668,2023-04-27,경북 고령군,경북,고령군,6.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
669,2023-04-27,광주 북구,광주,북구,9.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
670,2023-04-27,경남 양산시,경남,양산시,10.0,22.0,구름많음,30%,흐림,40%,-0.12,보통
671,2023-04-27,광주 동구,광주,동구,9.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
672,2023-04-27,광주 북구,광주,북구,6.0,22.0,구름많음,30%,흐림,40%,-0.01,보통
673,2023-04-27,경북 울진군,경북,울진군,12.0,21.0,구름많음,30%,흐림,40%,-0.05,보통
674,2023-04-27,부산 수영구,부산,수영구,13.0,20.0,구름많음,30%,흐림,40%,-0.37,나쁨
675,2023-04-27,부산 남구,부산,남구,13.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
676,2023-04-27,경기 의왕시,경기,의왕시,6.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
677,2023-04-27,경북 의성군,경북,의성군,5.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
678,2023-04-27,경기 양평군,경기,양평군,6.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
679,2023-04-27,대구 달서구,대구,달서구,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
680,2023-04-27,서울 마포구,서울,마포구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
681,2023-04-27,서울 동작구,서울,동작구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
682,2023-04-27,경북 청도군,경북,청도군,6.0,22.0,구름많음,30%,흐림,40%,-0.18,보통
683,2023-04-27,경기 여주시,경기,여주시,6.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
684,2023-04-27,부산 강서구,부산,강서구,13.0,20.0,구름많음,30%,흐림,40%,-0.03,보통
685,2023-04-27,경북 청송군,경북,청송군,4.0,24.0,구름많음,30%,흐림,40%,-0.3,나쁨
686,2023-04-27,대구 서구,대구,서구,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
687,2023-04-27,경기 용인시,경기,용인시,6.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
688,2023-04-27,서울 서초구,서울,서초구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
689,2023-04-27,광주 광산구,광주,광산구,6.0,22.0,구름많음,30%,흐림,40%,-0.01,보통
690,2023-04-27,부산 기장군,부산,기장군,13.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
691,2023-04-27,경기 오산시,경기,오산시,6.0,24.0,구름많음,30%,흐림,40%,-0.41,나쁨
692,2023-04-27,경북 칠곡군,경북,칠곡군,8.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
693,2023-04-27,광주 광산구,광주,광산구,9.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
694,2023-04-27,대전 유성구,대전,유성구,8.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
695,2023-04-27,서울 동대문구,서울,동대문구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
696,2023-04-27,서울 강서구,서울,강서구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
697,2023-04-27,경기 연천군,경기,연천군,3.0,20.0,구름많음,30%,흐림,40%,-0.41,나쁨
698,2023-04-27,서울 성동구,서울,성동구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
699,2023-04-27,울산 남구,울산,남구,9.0,21.0,구름많음,30%,흐림,40%,-0.39,나쁨
700,2023-04-27,서울 서대문구,서울,서대문구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
701,2023-04-27,경북 포항시,경북,포항시,12.0,23.0,구름많음,30%,흐림,40%,-0.05,보통
702,2023-04-27,경기 의정부시,경기,의정부시,6.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
703,2023-04-27,경기 양주시,경기,양주시,5.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
704,2023-04-27,대구 동구,대구,동구,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
705,2023-04-27,대구 달성군,대구,달성군,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
706,2023-04-27,부산 금정구,부산,금정구,13.0,20.0,구름많음,30%,흐림,40%,-0.29,나쁨
707,2023-04-27,인천 동구,인천,동구,10.0,18.0,구름많음,30%,흐림,40%,-0.35,나쁨
708,2023-04-28,광주 북구,광주,북구,15.0,22.0,흐리고 비,80%,흐림,40%,-0.21,보통
709,2023-04-28,충북 청주시,충북,청주시,14.0,21.0,흐림,40%,흐림,40%,-0.19,보통
710,2023-04-28,제주 제주시,제주,제주시,16.0,21.0,흐리고 비,90%,흐림,40%,0.04,보통
711,2023-04-28,전남 여수시,전남,여수시,15.0,20.0,흐리고 비,80%,흐림,40%,-0.17,보통
712,2023-04-28,전북 진안군,전북,진안군,11.0,20.0,흐리고 비,80%,흐림,40%,-0.07,보통
